Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Switzerland,Super League,2024/2025,01/09/2024,15:30,Zurich,Luzern,1,1,D,2.15,3.8,3.2,2.2,3.88,3.6,2.03,3.7,3.26,2.12,3.85,3.6
Switzerland,Super League,2024/2025,18/09/2024,18:30,Lausanne,Lugano,1,2,A,2.23,3.62,3.17,2.33,3.67,3.35,2.2,3.51,3.03,2.36,3.7,3.2
Switzerland,Super League,2024/2025,21/09/2024,17:00,Grasshoppers,Servette,2,2,D,3.21,3.38,2.32,3.45,3.63,2.32,3.12,3.46,2.19,3.35,3.5,2.34
Switzerland,Super League,2024/2025,21/09/2024,17:00,St. Gallen,Luzern,2,3,A,1.96,3.93,3.61,2,4.05,4.1,1.91,3.84,3.53,2.02,4.1,3.7
Switzerland,Super League,2024/2025,21/09/2024,19:30,Basel,Zurich,0,2,A,2.14,3.55,3.43,2.23,3.65,3.55,2.08,3.5,3.29,2.16,3.65,3.6
Switzerland,Super League,2024/2025,22/09/2024,13:15,Lausanne,Yverdon,3,1,H,1.51,4.58,6.18,1.54,4.6,6.25,1.5,4.39,5.72,1.57,4.7,6.4
Switzerland,Super League,2024/2025,22/09/2024,15:30,Sion,Lugano,0,0,D,2.66,3.4,2.71,2.67,3.55,2.71,2.58,3.33,2.62,2.8,3.55,2.76
Switzerland,Super League,2024/2025,22/09/2024,15:30,Winterthur,Young Boys,1,4,A,4.78,4.19,1.68,4.9,4.2,1.71,4.53,4.05,1.66,5,4.4,1.72
Switzerland,Super League,2024/2025,24/09/2024,19:30,St. Gallen,Zurich,4,1,H,2.34,3.64,2.97,2.4,3.65,3.05,2.29,3.52,2.87,2.44,3.65,3.1
Switzerland,Super League,2024/2025,28/09/2024,17:00,Servette,Lausanne,1,0,H,1.85,3.96,4.04,1.88,3.96,4.04,1.84,3.81,3.79,1.89,4,4.2
Switzerland,Super League,2024/2025,28/09/2024,17:00,Yverdon,St. Gallen,1,0,H,4.61,4.18,1.7,4.7,4.3,1.71,4.38,4.11,1.68,4.8,4.3,1.76
Switzerland,Super League,2024/2025,28/09/2024,19:30,Young Boys,Grasshoppers,0,1,A,1.63,4.34,5.08,1.63,4.5,5.5,1.58,4.23,4.97,1.67,4.4,5.6
Switzerland,Super League,2024/2025,29/09/2024,13:15,Zurich,Sion,1,0,H,2.12,3.35,3.73,2.2,3.35,3.83,2.08,3.21,3.63,2.24,3.35,3.85
Switzerland,Super League,2024/2025,29/09/2024,15:30,Lugano,Winterthur,2,1,H,1.43,4.84,7.2,1.46,4.9,7.5,1.41,4.67,6.65,1.46,5.1,8
Switzerland,Super League,2024/2025,29/09/2024,15:30,Luzern,Basel,1,0,H,2.54,3.54,2.75,2.58,3.57,2.8,2.49,3.42,2.65,2.54,3.7,2.9
Switzerland,Super League,2024/2025,05/10/2024,17:00,Luzern,Lausanne,2,2,D,1.9,3.86,3.91,1.95,3.89,3.91,1.89,3.75,3.62,1.96,3.95,4.1
Switzerland,Super League,2024/2025,05/10/2024,17:00,Sion,Yverdon,1,1,D,1.48,4.49,6.83,1.5,4.6,6.9,1.47,4.31,6.32,1.52,4.6,7.6
Switzerland,Super League,2024/2025,05/10/2024,19:30,Winterthur,Grasshoppers,1,0,H,3.26,3.45,2.26,3.27,3.5,2.28,3.17,3.39,2.18,3.45,3.65,2.28
Switzerland,Super League,2024/2025,06/10/2024,13:15,Zurich,Lugano,1,1,D,2.44,3.41,2.98,2.44,3.43,3.1,2.34,3.3,2.96,2.48,3.45,3.15
Switzerland,Super League,2024/2025,06/10/2024,15:30,Basel,Young Boys,1,0,H,2.43,3.58,2.88,2.45,3.63,2.88,2.35,3.5,2.77,2.48,3.65,3
Switzerland,Super League,2024/2025,06/10/2024,15:30,St. Gallen,Servette,1,1,D,2.61,3.81,2.54,2.66,3.82,2.55,2.54,3.64,2.48,2.72,3.9,2.62
