Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Austria,Bundesliga,2024/2025,21/09/2024,16:00,A. Klagenfurt,Hartberg,2,2,D,2.86,3.69,2.42,3.2,3.72,2.43,2.83,3.59,2.31,3,3.7,2.46
Austria,Bundesliga,2024/2025,21/09/2024,16:00,Altach,BW Linz,0,1,A,2.45,3.34,3.07,2.45,3.4,3.4,2.31,3.26,3.08,2.5,3.35,3.25
Austria,Bundesliga,2024/2025,21/09/2024,16:00,LASK,Grazer AK,4,2,H,1.79,3.87,4.53,1.81,4,4.53,1.75,3.84,4.27,1.86,4,4.7
Austria,Bundesliga,2024/2025,22/09/2024,13:30,Sturm Graz,Wolfsberger AC,0,3,A,1.71,4.34,4.52,1.75,4.34,5.01,1.7,4.09,4.38,1.75,4.3,4.9
Austria,Bundesliga,2024/2025,22/09/2024,13:30,Tirol,Salzburg,0,0,D,9.08,6.14,1.3,9.5,6.5,1.34,8.72,5.81,1.29,10,6.4,1.33
Austria,Bundesliga,2024/2025,22/09/2024,16:00,SK Rapid,Austria Vienna,2,1,H,1.73,4.3,4.42,1.91,4.3,4.42,1.72,4.13,4.2,1.77,4.3,4.7
Austria,Bundesliga,2024/2025,25/09/2024,17:30,Austria Vienna,Sturm Graz,2,2,D,2.8,3.66,2.48,2.93,3.73,2.5,2.72,3.58,2.39,2.92,3.8,2.48
Austria,Bundesliga,2024/2025,26/09/2024,17:30,Hartberg,Tirol,1,0,H,2.02,3.72,3.7,2.04,4,3.8,1.93,3.66,3.63,2,3.85,3.9
Austria,Bundesliga,2024/2025,28/09/2024,16:00,BW Linz,Sturm Graz,1,2,A,3.62,3.61,2.08,3.62,3.67,2.13,3.42,3.5,2.05,3.75,3.6,2.16
Austria,Bundesliga,2024/2025,28/09/2024,16:00,Salzburg,Austria Vienna,2,0,H,1.45,5.46,6.09,1.48,5.5,6.5,1.43,5.15,5.79,1.47,5.5,6.8
Austria,Bundesliga,2024/2025,28/09/2024,16:00,SK Rapid,LASK,1,1,D,1.88,4.05,3.9,1.91,4.05,3.95,1.85,3.88,3.74,1.92,4.1,4
Austria,Bundesliga,2024/2025,29/09/2024,13:30,Hartberg,Altach,2,0,H,1.98,3.5,4.11,2.05,3.6,4.11,1.96,3.41,3.82,2.02,3.65,4.1
Austria,Bundesliga,2024/2025,29/09/2024,13:30,Wolfsberger AC,Tirol,1,3,A,1.67,4.13,5.14,1.67,4.2,5.37,1.62,4.03,4.94,1.72,4.2,5.3
Austria,Bundesliga,2024/2025,29/09/2024,16:00,Grazer AK,A. Klagenfurt,0,1,A,2.29,3.5,3.21,2.34,3.51,3.26,2.25,3.38,3.09,2.32,3.6,3.3
Austria,Bundesliga,2024/2025,05/10/2024,16:00,Austria Vienna,Grazer AK,2,1,H,1.72,4.28,4.5,1.73,4.33,4.6,1.69,4.11,4.38,1.76,4.4,4.7
Austria,Bundesliga,2024/2025,05/10/2024,16:00,Tirol,BW Linz,1,1,D,2.81,3.23,2.72,2.82,3.32,2.74,2.72,3.18,2.61,2.82,3.35,2.82
Austria,Bundesliga,2024/2025,05/10/2024,16:00,Wolfsberger AC,Hartberg,2,3,A,2.47,3.35,3.04,2.5,3.45,3.25,2.35,3.3,2.99,2.5,3.4,3.15
Austria,Bundesliga,2024/2025,06/10/2024,13:30,Altach,SK Rapid,0,1,A,4.58,4.06,1.75,4.63,4.13,1.75,4.37,3.95,1.71,4.7,4.1,1.8
Austria,Bundesliga,2024/2025,06/10/2024,13:30,LASK,A. Klagenfurt,4,0,H,1.67,4.26,4.92,1.68,4.4,5.5,1.62,4.12,4.88,1.67,4.3,5.5
Austria,Bundesliga,2024/2025,06/10/2024,16:00,Sturm Graz,Salzburg,5,0,H,3.71,3.86,1.98,3.71,3.95,2,3.52,3.77,1.93,3.75,4,2
Austria,Bundesliga,2024/2025,19/10/2024,16:00,BW Linz,Wolfsberger AC,0,1,A,2.53,3.45,2.88,2.53,3.7,2.91,2.42,3.42,2.78,2.54,3.55,3
Austria,Bundesliga,2024/2025,19/10/2024,16:00,Salzburg,Altach,2,1,H,1.28,6.14,10.12,1.3,6.5,11,1.26,5.86,9.59,1.29,6.4,12.5
Austria,Bundesliga,2024/2025,19/10/2024,16:00,Sturm Graz,Grazer AK,5,2,H,1.4,5.09,7.77,1.42,5.25,7.77,1.39,4.83,7.08,1.46,5,8.2
Austria,Bundesliga,2024/2025,20/10/2024,13:30,A. Klagenfurt,Austria Vienna,0,1,A,3.5,3.66,2.11,3.5,3.98,2.11,3.29,3.67,2.05,3.55,3.8,2.16
Austria,Bundesliga,2024/2025,20/10/2024,13:30,Tirol,LASK,1,2,A,3.4,3.47,2.22,3.69,3.82,2.22,3.41,3.48,2.07,3.8,3.6,2.14
Austria,Bundesliga,2024/2025,20/10/2024,16:00,SK Rapid,Hartberg,2,1,H,1.54,4.7,5.65,1.59,5.18,5.65,1.53,4.6,5.21,1.57,4.8,6
Austria,Bundesliga,2024/2025,26/10/2024,16:00,Altach,A. Klagenfurt,2,2,D,2.2,3.43,3.47,2.23,3.67,3.52,2.13,3.4,3.34,2.24,3.5,3.6
Austria,Bundesliga,2024/2025,26/10/2024,16:00,Austria Vienna,Tirol,3,0,H,1.6,4.42,5.36,1.61,4.5,5.6,1.56,4.28,5.2,1.63,4.5,5.7
Austria,Bundesliga,2024/2025,26/10/2024,16:00,Hartberg,BW Linz,2,1,H,2.09,3.59,3.63,2.09,3.69,3.63,2.03,3.52,3.49,2.14,3.65,3.75
Austria,Bundesliga,2024/2025,27/10/2024,13:30,Grazer AK,SK Rapid,1,1,D,6.39,4.69,1.5,6.5,4.7,1.56,5.95,4.4,1.5,6.4,4.8,1.54
Austria,Bundesliga,2024/2025,27/10/2024,13:30,Wolfsberger AC,Salzburg,0,0,D,4.45,4.2,1.75,4.63,4.3,1.75,4.33,4.07,1.7,4.9,4.3,1.75
Austria,Bundesliga,2024/2025,27/10/2024,16:00,LASK,Sturm Graz,1,2,A,2.76,3.51,2.6,2.82,3.63,2.6,2.68,3.45,2.49,2.84,3.6,2.68
Austria,Bundesliga,2024/2025,02/11/2024,16:00,LASK,Hartberg,1,1,D,1.82,3.65,4.7,2.05,3.65,4.82,1.86,3.52,4.22,1.89,3.75,4.7
Austria,Bundesliga,2024/2025,02/11/2024,16:00,Salzburg,Grazer AK,0,0,D,1.26,6.46,10.29,1.3,7,12,1.25,6.34,9.79,1.25,7.8,13.5
Austria,Bundesliga,2024/2025,02/11/2024,16:00,Sturm Graz,SK Rapid,1,1,D,2.43,3.4,3.05,2.43,3.7,3.06,2.35,3.49,2.87,2.48,3.55,3.05
Austria,Bundesliga,2024/2025,03/11/2024,13:30,A. Klagenfurt,Wolfsberger AC,2,1,H,3.38,3.5,2.21,3.38,3.5,2.35,3.18,3.38,2.21,3.35,3.55,2.32
Austria,Bundesliga,2024/2025,03/11/2024,13:30,Tirol,Altach,1,0,H,3.16,3.31,2.41,3.16,3.46,2.46,2.99,3.26,2.37,3.15,3.4,2.52
Austria,Bundesliga,2024/2025,03/11/2024,16:00,Austria Vienna,BW Linz,2,1,H,1.88,3.76,4.21,1.91,3.82,4.5,1.84,3.68,4,1.94,3.8,4.3
Austria,Bundesliga,2024/2025,09/11/2024,16:00,Grazer AK,Tirol,2,1,H,1.88,3.56,4.5,1.95,3.7,4.5,1.89,3.49,4.02,1.97,3.7,4.4
Austria,Bundesliga,2024/2025,09/11/2024,16:00,Hartberg,Sturm Graz,1,2,A,3.81,3.61,2.02,3.85,3.9,2.04,3.61,3.59,1.96,3.95,3.75,2.06
Austria,Bundesliga,2024/2025,09/11/2024,16:00,Wolfsberger AC,Austria Vienna,0,1,A,3.03,3.38,2.46,3.03,3.78,2.46,2.86,3.39,2.39,3.05,3.55,2.48
Austria,Bundesliga,2024/2025,10/11/2024,13:30,Altach,LASK,1,2,A,3.78,3.26,2.16,3.8,3.4,2.19,3.57,3.27,2.1,3.85,3.45,2.18
Austria,Bundesliga,2024/2025,10/11/2024,13:30,BW Linz,Salzburg,2,0,H,5.65,4.58,1.56,6.06,4.6,1.6,5.44,4.31,1.54,6,4.7,1.57
Austria,Bundesliga,2024/2025,10/11/2024,16:00,SK Rapid,A. Klagenfurt,2,0,H,1.45,4.84,7.03,1.49,4.84,7.03,1.44,4.59,6.53,1.45,5.1,8
