Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Brazil,Serie A,2024,20/06/2024,01:30,Cruzeiro,Fluminense,2,0,H,1.77,3.7,4.97,1.79,3.73,5.1,1.75,3.57,4.78,,,
Brazil,Serie A,2024,20/06/2024,01:30,Internacional,Corinthians,1,0,H,2.29,3.14,3.6,2.29,3.29,3.73,2.2,3.09,3.54,,,
Brazil,Serie A,2024,20/06/2024,22:30,Vitoria,Atletico-MG,4,2,H,3,2.95,2.77,3.06,3,2.85,2.91,2.9,2.7,,,
Brazil,Serie A,2024,21/06/2024,00:00,Flamengo RJ,Bahia,2,1,H,1.62,4.06,5.77,1.65,4.1,6.1,1.6,3.96,5.38,,,
Brazil,Serie A,2024,21/06/2024,01:30,Palmeiras,Bragantino,2,1,H,1.76,3.7,5.04,1.77,3.78,5.75,1.71,3.67,4.9,,,
Brazil,Serie A,2024,22/06/2024,20:00,Criciuma,Botafogo RJ,2,1,H,3.04,3.31,2.49,3.11,3.34,2.5,3,3.21,2.4,,,
Brazil,Serie A,2024,22/06/2024,21:30,Gremio,Internacional,0,1,A,3.25,3.01,2.55,3.25,3.06,2.68,3.03,2.97,2.55,,,
Brazil,Serie A,2024,22/06/2024,22:30,Cuiaba,Atletico GO,0,0,D,2.08,3.2,4.17,2.14,3.3,4.17,2.05,3.15,3.91,,,
Brazil,Serie A,2024,23/06/2024,01:30,Vasco,Sao Paulo,4,1,H,3.4,3.21,2.34,3.46,3.25,2.37,3.33,3.12,2.28,,,
Brazil,Serie A,2024,23/06/2024,20:00,Athletico-PR,Corinthians,1,1,D,1.65,4.01,5.56,1.7,4.04,5.7,1.64,3.89,5.2,,,
Brazil,Serie A,2024,23/06/2024,20:00,Bahia,Cruzeiro,4,1,H,2.12,3.35,3.81,2.12,3.35,3.96,2.05,3.26,3.76,,,
Brazil,Serie A,2024,23/06/2024,20:00,Fluminense,Flamengo RJ,0,1,A,4.6,3.79,1.81,4.7,3.95,1.91,4.44,3.7,1.77,,,
Brazil,Serie A,2024,23/06/2024,22:30,Atletico-MG,Fortaleza,1,1,D,1.75,3.61,5.3,1.81,3.75,5.3,1.74,3.51,4.97,,,
Brazil,Serie A,2024,23/06/2024,22:30,Bragantino,Vitoria,2,1,H,1.55,4.16,6.52,1.55,4.23,6.92,1.51,4.04,6.48,,,
Brazil,Serie A,2024,23/06/2024,22:30,Palmeiras,Juventude,3,1,H,1.42,4.64,8.34,1.44,4.9,9,1.39,4.49,8.17,,,
Brazil,Serie A,2024,26/06/2024,23:00,Botafogo RJ,Bragantino,2,1,H,1.99,3.49,4.07,2.02,3.5,4.21,1.95,3.4,3.93,,,
Brazil,Serie A,2024,26/06/2024,23:00,Cruzeiro,Athletico-PR,2,0,H,2.17,3.18,3.86,2.22,3.2,3.86,2.14,3.1,3.7,,,
Brazil,Serie A,2024,27/06/2024,00:00,Atletico GO,Gremio,1,1,D,2.26,3.18,3.63,2.29,3.23,3.67,2.19,3.15,3.48,,,
Brazil,Serie A,2024,27/06/2024,00:00,Corinthians,Cuiaba,1,1,D,2.05,3.29,4.14,2.06,3.29,4.4,2,3.19,4.08,,,
Brazil,Serie A,2024,27/06/2024,00:00,Juventude,Flamengo RJ,2,1,H,4.9,3.43,1.85,5,3.43,1.96,4.55,3.31,1.86,,,
Brazil,Serie A,2024,27/06/2024,01:30,Bahia,Vasco,2,1,H,1.61,4.07,5.86,1.63,4.1,5.9,1.59,3.93,5.59,,,
Brazil,Serie A,2024,27/06/2024,01:30,Fortaleza,Palmeiras,3,0,H,3.19,3.18,2.45,3.25,3.2,2.46,3.1,3.09,2.41,,,
Brazil,Serie A,2024,27/06/2024,01:30,Internacional,Atletico-MG,1,2,A,2.08,3.03,3.9,2.25,3.26,4.2,2.13,3.05,3.8,,,
Brazil,Serie A,2024,27/06/2024,23:00,Fluminense,Vitoria,0,1,A,1.88,3.59,4.44,1.92,3.65,4.72,1.86,3.47,4.26,,,
