Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Argentina,Liga Profesional,2024,26/05/2024,19:30,Huracan,Instituto,1,0,H,2.06,3.13,4.23,2.06,3.28,4.4,2.01,3.08,4.12,,,
Argentina,Liga Profesional,2024,26/05/2024,21:30,Sarmiento Junin,Ind. Rivadavia,0,1,A,2.38,2.8,3.82,2.4,2.98,3.82,2.33,2.83,3.56,,,
Argentina,Liga Profesional,2024,26/05/2024,21:45,Gimnasia L.P.,Banfield,3,0,H,1.81,3.38,5.19,1.96,3.45,5.25,1.84,3.28,4.69,,,
Argentina,Liga Profesional,2024,27/05/2024,00:00,Independiente,Velez Sarsfield,1,1,D,2.94,2.95,2.78,2.99,2.98,2.87,2.86,2.87,2.73,,,
Argentina,Liga Profesional,2024,27/05/2024,23:00,Union de Santa Fe,Barracas Central,2,0,H,1.79,3.41,5.2,1.86,3.46,5.5,1.79,3.35,4.92,,,
Argentina,Liga Profesional,2024,28/05/2024,01:00,Atl. Tucuman,Platense,1,1,D,2.1,3,4.32,2.11,3.06,4.6,2.03,2.97,4.28,,,
Argentina,Liga Profesional,2024,01/06/2024,22:00,Racing Club,Dep. Riestra,1,0,H,1.38,4.71,9.29,1.43,4.75,9.98,1.4,4.39,8.56,,,
Argentina,Liga Profesional,2024,02/06/2024,00:15,Belgrano,Argentinos Jrs,1,0,H,2.92,2.87,2.88,2.92,3.1,2.97,2.8,2.89,2.79,,,
Argentina,Liga Profesional,2024,02/06/2024,00:15,Velez Sarsfield,Atl. Tucuman,1,1,D,2.02,3.11,4.44,2.06,3.45,4.6,1.96,3.2,4.19,,,
Argentina,Liga Profesional,2024,02/06/2024,18:30,Platense,Boca Juniors,1,0,H,4.38,3.01,2.08,4.49,3.02,2.18,4.15,2.91,2.09,,,
Argentina,Liga Profesional,2024,02/06/2024,22:00,Central Cordoba,Talleres Cordoba,2,4,A,5.02,3.7,1.75,5.02,3.78,1.83,4.72,3.6,1.75,,,
Argentina,Liga Profesional,2024,02/06/2024,22:00,Rosario Central,Lanus,1,1,D,2.26,3.1,3.64,2.26,3.28,3.83,2.18,3.08,3.59,,,
Argentina,Liga Profesional,2024,03/06/2024,00:15,Instituto,Gimnasia L.P.,2,1,H,2.52,3.06,3.18,2.61,3.32,3.3,2.48,3.08,2.99,,,
Argentina,Liga Profesional,2024,03/06/2024,00:15,River Plate,Tigre,3,1,H,1.2,6.85,15.06,1.21,8.06,16.1,1.19,6.73,14.09,,,
Argentina,Liga Profesional,2024,03/06/2024,23:00,San Lorenzo,Sarmiento Junin,0,1,A,1.78,3.03,6.61,1.87,3.12,6.67,1.77,3.02,6.04,,,
Argentina,Liga Profesional,2024,04/06/2024,01:15,Defensa y Justicia,Independiente,0,0,D,2.84,2.97,2.86,2.9,3.16,2.94,2.74,2.94,2.8,,,
Argentina,Liga Profesional,2024,04/06/2024,01:15,Estudiantes L.P.,Godoy Cruz,1,1,D,1.75,3.47,5.26,1.83,3.5,5.6,1.78,3.3,5.06,,,
Argentina,Liga Profesional,2024,04/06/2024,19:00,Barracas Central,Huracan,0,2,A,3.49,3.07,2.35,3.49,3.2,2.45,3.25,3.05,2.35,,,
Argentina,Liga Profesional,2024,05/06/2024,00:00,Banfield,Newells Old Boys,2,0,H,3.22,2.89,2.62,3.4,2.98,2.62,3.22,2.85,2.49,,,
Argentina,Liga Profesional,2024,05/06/2024,00:00,Ind. Rivadavia,Union de Santa Fe,0,1,A,3.53,2.96,2.4,3.62,3.1,2.42,3.48,2.91,2.32,,,
Argentina,Liga Profesional,2024,12/06/2024,21:00,Godoy Cruz,Rosario Central,1,1,D,2.41,2.96,3.49,2.45,3.06,3.65,2.34,2.95,3.41,,,
Argentina,Liga Profesional,2024,12/06/2024,23:00,Argentinos Jrs,Central Cordoba,2,1,H,1.39,4.62,9.3,1.42,4.86,9.6,1.38,4.5,8.64,,,
Argentina,Liga Profesional,2024,13/06/2024,01:15,Gimnasia L.P.,Barracas Central,2,1,H,1.54,4.15,6.48,1.65,4.31,6.6,1.53,4.08,6.14,,,
Argentina,Liga Profesional,2024,13/06/2024,01:15,Independiente,Banfield,2,1,H,2.04,3.12,4.36,2.06,3.25,4.71,1.95,3.12,4.44,,,
Argentina,Liga Profesional,2024,13/06/2024,19:00,Dep. Riestra,River Plate,2,0,H,7.35,4.17,1.5,7.5,4.44,1.53,6.88,4.14,1.48,,,
Argentina,Liga Profesional,2024,13/06/2024,23:00,Sarmiento Junin,Estudiantes L.P.,2,0,H,4.67,3.17,1.95,4.75,3.17,2.05,4.43,3.07,1.97,,,
Argentina,Liga Profesional,2024,13/06/2024,23:00,Tigre,Belgrano,1,1,D,2.56,2.93,3.27,2.7,3,3.27,2.53,2.89,3.13,,,
Argentina,Liga Profesional,2024,14/06/2024,01:15,Lanus,Racing Club,2,0,H,4.1,3.4,1.99,4.23,3.5,2.15,3.87,3.31,2.01,,,
Argentina,Liga Profesional,2024,14/06/2024,01:15,Newells Old Boys,Instituto,0,2,A,2.13,3.01,4.18,2.2,3.05,4.2,2.13,2.95,3.97,,,
Argentina,Liga Profesional,2024,14/06/2024,23:00,Boca Juniors,Velez Sarsfield,1,0,H,1.94,3.24,4.62,1.99,3.39,5.32,1.85,3.26,4.71,,,
Argentina,Liga Profesional,2024,14/06/2024,23:00,Talleres Cordoba,Platense,2,1,H,1.89,3.1,5.27,1.96,3.21,5.61,1.83,3.13,5.18,,,
Argentina,Liga Profesional,2024,15/06/2024,20:00,Union de Santa Fe,San Lorenzo,2,1,H,2.31,2.75,4.11,2.34,2.86,4.2,2.28,2.74,3.93,,,
Argentina,Liga Profesional,2024,15/06/2024,22:00,Huracan,Ind. Rivadavia,1,0,H,1.67,3.46,6.49,1.75,3.57,6.51,1.66,3.41,6.12,,,
Argentina,Liga Profesional,2024,16/06/2024,00:30,Atl. Tucuman,Defensa y Justicia,1,1,D,1.92,3.38,4.45,1.97,3.5,4.5,1.92,3.3,4.22,,,
Argentina,Liga Profesional,2024,18/07/2024,22:45,Argentinos Jrs,Tigre,0,2,A,1.78,3.33,5.34,1.85,3.36,5.6,1.79,3.28,5.18,1.81,3.35,6.2
Argentina,Liga Profesional,2024,18/07/2024,23:00,Ind. Rivadavia,Gimnasia L.P.,1,0,H,2.8,2.93,2.9,2.9,3,2.98,2.76,2.91,2.83,2.92,3.05,2.98
Argentina,Liga Profesional,2024,19/07/2024,01:00,Instituto,Independiente,3,1,H,2.38,2.88,3.68,2.42,2.95,3.76,2.32,2.83,3.65,2.42,2.98,3.85
