№,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90
1,Alexander Isak,Newcastle United,10,858,13,3,8.73-4.27,3.45+0.45,0.92,0.84,0.36
2,Mohamed Salah,Liverpool,9,809,8,6,7.50-0.50,4.87-1.13,0.83,0.75,0.54
3,Phil Foden,Manchester City,8,669,7,1,4.14-2.86,1.91+0.91,0.56,0.56,0.26
4,Bryan Mbeumo,Brentford,10,900,6,2,4.71-1.29,3.68+1.68,0.47,0.32,0.37
5,Justin Kluivert,Bournemouth,9,688,6,2,4.03-1.97,1.23-0.77,0.53,0.33,0.16
6,Erling Haaland,Manchester City,10,869,6,2,6.33+0.33,1.70-0.30,0.66,0.58,0.18
7,Cole Palmer,Chelsea,10,894,6,0,5.30-0.70,3.01+3.01,0.53,0.38,0.3
8,Cody Gakpo,Liverpool,9,707,6,2,4.04-1.96,2.29+0.29,0.51,0.51,0.29
9,Chris Wood,Nottingham Forest,10,845,5,2,3.49-1.51,0.66-1.34,0.37,0.37,0.07
10,Jean-Philippe Mateta,Crystal Palace,10,856,5,0,4.85-0.15,1.36+1.36,0.51,0.43,0.14
11,Amad Diallo Traore,Manchester United,10,843,5,1,2.93-2.07,0.99-0.01,0.31,0.31,0.11
12,Dango Ouattara,Bournemouth,10,685,5,3,5.62+0.62,2.37-0.63,0.74,0.74,0.31
13,Alex Iwobi,Fulham,10,830,4,0,1.57-2.43,1.85+1.85,0.17,0.17,0.2
14,Raúl Jiménez,Fulham,10,652,4,0,3.75-0.25,0.09+0.09,0.52,0.31,0.01
15,Dejan Kulusevski,Tottenham,10,891,4,1,2.32-1.68,1.90+0.90,0.23,0.23,0.19
16,Anthony Gordon,Newcastle United,10,804,4,4,4.25+0.25,2.15-1.85,0.48,0.48,0.24
17,Ollie Watkins,Aston Villa,10,588,4,3,5.06+1.06,1.42-1.58,0.77,0.54,0.22
18,Son Heung-Min,Tottenham,10,691,3,2,3.63+0.63,2.83+0.83,0.47,0.37,0.37
19,Jamie Vardy,Leicester,9,743,3,1,5.94+2.94,1.31+0.31,0.72,0.72,0.16
20,Bruno Fernandes,Manchester United,9,755,3,1,3.33+0.33,1.22+0.22,0.4,0.22,0.15
21,Dominic Solanke,Tottenham,8,716,3,1,3.22+0.22,1.05+0.05,0.4,0.4,0.13
22,Kai Havertz,Arsenal,8,678,3,1,4.62+1.62,1.28+0.28,0.61,0.61,0.17
23,Gabriel Jesus,Arsenal,6,378,3,0,2.66-0.34,0.15+0.15,0.63,0.63,0.04
24,Ismaila Sarr,Crystal Palace,10,851,3,2,2.72-0.28,3.20+1.20,0.29,0.29,0.34
25,Yoane Wissa,Brentford,10,860,3,1,5.47+2.47,1.64+0.64,0.57,0.57,0.17
26,Jacob Murphy,Newcastle United,10,780,3,5,2.46-0.54,4.57-0.43,0.28,0.28,0.53
27,James Maddison,Tottenham,9,433,3,1,1.30-1.70,0.87-0.13,0.27,0.27,0.18
28,Diogo Jota,Liverpool,6,115,3,0,2.63-0.37,0.28+0.28,2.06,2.06,0.22
29,Morgan Gibbs-White,Nottingham Forest,10,819,3,4,2.05-0.95,2.71-1.29,0.23,0.23,0.3
30,Matheus Cunha,Wolverhampton Wanderers,9,720,3,1,1.41-1.59,1.73+0.73,0.18,0.18,0.22
31,Gabriel Martinelli,Arsenal,10,685,3,0,2.45-0.55,0.72+0.72,0.32,0.32,0.1
32,Kevin Schade,Brentford,10,496,3,1,1.59-1.41,1.10+0.10,0.29,0.29,0.2
33,Iliman Ndiaye,Everton,9,797,3,0,2.41-0.59,0.56+0.56,0.27,0.19,0.06
34,Anthony Elanga,Nottingham Forest,10,668,3,3,2.72-0.28,1.66-1.34,0.37,0.37,0.22
35,Luis Díaz,Liverpool,8,583,3,0,2.70-0.30,0.55+0.55,0.42,0.42,0.08
36,Noni Madueke,Chelsea,9,533,3,2,4.82+1.82,1.00-1.00,0.81,0.81,0.17
37,Antoine Semenyo,Bournemouth,10,876,3,2,4.15+1.15,1.98-0.02,0.43,0.43,0.2
38,Jhon Durán,Aston Villa,7,293,3,0,2.18-0.82,0.11+0.11,0.67,0.67,0.03
39,Morgan Rogers,Aston Villa,9,784,3,2,1.30-1.70,1.60-0.40,0.15,0.15,0.18
40,Joelinton,Newcastle United,9,779,2,1,1.82-0.18,0.69-0.31,0.21,0.21,0.08
41,Jarrod Bowen,West Ham,6,513,2,1,2.46+0.46,1.03+0.03,0.43,0.43,0.18
42,Bernardo Silva,Manchester City,9,810,2,1,1.42-0.58,1.19+0.19,0.16,0.16,0.13
43,Harry Wilson,Fulham,10,716,2,1,2.07+0.07,1.31+0.31,0.26,0.26,0.16
44,Richarlison,Tottenham,3,97,2,0,1.28-0.72,0.09+0.09,1.19,1.19,0.08
45,Jan Bednarek,Southampton,8,714,2,0,0.93-1.07,0.04+0.04,0.12,0.12,0.01
46,Niclas Füllkrug,West Ham,6,309,2,1,1.08-0.92,1.16+0.16,0.31,0.31,0.34
47,Nikola Milenkovic,Nottingham Forest,10,900,2,0,1.10-0.90,0,0.11,0.11,0
48,Enes Ünal,Bournemouth,7,146,2,0,1.22-0.78,0.12+0.12,0.75,0.75,0.07
49,Jadon Sancho,Chelsea,10,666,2,1,1.25-0.75,1.83+0.83,0.17,0.17,0.25
50,Trevoh Chalobah,"Chelsea, Crystal Palace",7,624,2,1,1.49-0.51,1.28+0.28,0.22,0.22,0.18
